Vehicle Name	Date	Time	depot_lat/depot_lon
NW1_KA04D4278_JETTING	26/04/2023	09:52:04	13.0019/77.5377
NW1_KA04D4278_JETTING	23/07/2023	22:50:18	13.0074/77.5507
NW1_KA04D4278_JETTING	27/10/2023	11:35:03	13.0037/77.5367
NW1_KA04D6656_JETTING	26/01/2023	23:58:46	13.0075/77.5510
NW1_KA04D6656_JETTING	26/04/2023	23:58:12	13.0075/77.5509
NW1_KA04D6656_JETTING	27/07/2023	23:58:44	13.0074/77.5509
NW1_KA04D6656_JETTING	27/10/2023	23:58:48	13.0074/77.5508
S12_KA04AA7683_DESILTING	20/12/2023	16:00:16	12.8972/77.6202
SE1_KA04AA9030_DESILTING	03/01/2023	19:47:19	12.9580/77.6123
SE1_KA04AA9030_DESILTING	10/02/2023	12:38:01	12.9518/77.6095
SE1_KA04AA9030_DESILTING	27/07/2023	23:58:33	12.9580/77.6123
SE1_KA04AA9030_DESILTING	27/10/2023	23:59:00	12.9579/77.6122
SE1_KA04AB5793_JETTING	26/01/2023	23:58:37	12.9583/77.6123
SE1_KA04AB5793_JETTING	26/04/2023	23:58:45	12.9582/77.6123
SE1_KA04AB5793_JETTING	27/07/2023	23:58:52	12.9663/77.5879
SE1_KA04AB5793_JETTING	27/10/2023	23:58:44	12.9580/77.6123
SE1_KA04AB5794_JETTING	26/01/2023	23:58:37	12.9581/77.6124
SE1_KA04AB5794_JETTING	26/04/2023	23:58:33	12.9581/77.6122
SE1_KA04AB5794_JETTING	27/07/2023	23:58:34	12.9581/77.6122
SE1_KA04AB5794_JETTING	27/10/2023	23:59:01	12.9581/77.6123
SE1_KA04C5150_JETTING	26/01/2023	23:58:55	12.9580/77.6122
SE1_KA04C5150_JETTING	26/04/2023	23:58:37	13.0103/77.5664
SE1_KA04C5150_JETTING	27/07/2023	23:58:57	12.9580/77.6128
SE1_KA04C5150_JETTING	27/10/2023	23:58:48	13.0103/77.5667
SE1_KA04D4110_JETTING	26/01/2023	15:15:37	12.9408/77.6274
SE1_KA04D4110_JETTING	26/04/2023	11:41:46	12.9407/77.6309
SE1_KA04D4110_JETTING	27/07/2023	13:42:18	12.9408/77.6311
SE1_KA04D4110_JETTING	27/10/2023	07:51:03	12.9580/77.6124
SE1_KA04D5303_TANKER	27/10/2023	23:58:57	12.9581/77.6125
SE2_KA049409_JETTING	18/08/2023	14:52:33	12.9868/77.6478
SE2_KA049409_JETTING	18/08/2023	14:52:33	12.9868/77.6478
SE4_KA04A3282_JETTING	20/07/2023	19:41:41	12.9827/77.6496
SE4_KA04A3282_JETTING	20/07/2023	19:41:41	12.9827/77.6496
SE4_KA04A3282_JETTING	20/07/2023	19:41:41	12.9827/77.6496
SE4_KA04A7681_DESILTING	17/10/2023	08:47:12	12.9826/77.6495
SE4_KA04A7681_DESILTING	17/10/2023	08:47:12	12.9826/77.6495
SE5_KA04D5311_TANKER	16/08/2023	15:13:16	12.9114/77.6467
SE5_KA04D5311_TANKER	16/08/2023	15:13:16	12.9114/77.6467
SE6_KA04A9518_JETTING	12/06/2023	19:22:16	12.9156/77.6014
SE6_KA04A9518_JETTING	12/06/2023	19:22:16	12.9156/77.6014
SE6_KA04A9518_JETTING	12/06/2023	19:22:16	12.9156/77.6014
SW2_KA04A3045_JETTING	20/10/2023	18:10:21	12.9428/77.5757
SW2_KA04A3045_JETTING	20/10/2023	18:10:21	12.9428/77.5757
SW2_KA04A9522_JETTING	27/12/2023	09:13:56	12.9587/77.5779
SW3_KA02AC5929_JETTING	26/01/2023	18:16:24	12.9426/77.5758
SW3_KA02AC5929_JETTING	26/04/2023	15:56:01	12.9450/77.5558
SW3_KA02AC5929_JETTING	27/07/2023	10:48:19	12.9487/77.5622
SW3_KA02AC5929_JETTING	23/10/2023	17:48:08	12.9435/77.5763
SW3_KA04A9513_JETTING	26/01/2023	23:58:05	12.9427/77.5757
SW3_KA04A9513_JETTING	25/03/2023	10:01:51	12.9526/77.5462
SW3_KA04A9513_JETTING	27/07/2023	23:59:01	12.9429/77.5762
SW3_KA04A9513_JETTING	22/10/2023	17:06:16	12.9433/77.5762
SW3_KA04A9513_JETTING	15/11/2023	09:20:11	12.9429/77.5762
SW3_KA04C5147_JETTING	26/01/2023	23:58:47	12.9426/77.5759
SW3_KA04C5147_JETTING	26/04/2023	23:58:56	12.9426/77.5760
SW3_KA04C5147_JETTING	27/07/2023	23:58:08	12.9426/77.5753
SW3_KA04C5147_JETTING	24/10/2023	14:16:58	12.9427/77.5759
SW3_KA05A8077_TANKER	26/01/2023	23:58:49	12.9429/77.5759
SW3_KA05A8077_TANKER	26/04/2023	23:58:56	12.9408/77.5757
SW3_KA05A8077_TANKER	27/07/2023	23:58:49	12.9424/77.5757
SW3_KA05A8077_TANKER	27/10/2023	23:58:32	12.9428/77.5760
SW3_KA05AD2942_DESILTING	26/01/2023	23:58:33	12.9429/77.5759
SW3_KA05AD2942_DESILTING	26/04/2023	23:58:46	12.9428/77.5756
SW3_KA05AD2942_DESILTING	27/07/2023	23:58:43	12.8986/77.5118
SW3_KA05AD2942_DESILTING	04/10/2023	08:31:57	12.9429/77.5759
SW5_KA04C5144_JETTING	08/06/2023	12:14:44	12.8953/77.5418
SW5_KA04C5144_JETTING	08/06/2023	12:14:44	12.8953/77.5418
SW5_KA04C5144_JETTING	08/06/2023	12:14:44	12.8953/77.5418
SW5_KA05B6541_JETTING	05/11/2023	05:28:43	12.9092/77.5624
WWM_KA53B3474_DUMPING	26/01/2023	23:58:43	13.0424/77.6014
WWM_KA53B3474_DUMPING	26/04/2023	23:58:47	13.0425/77.6015
WWM_KA53B3474_DUMPING	03/05/2023	11:35:21	13.0526/77.6198
WWM_KA53B3474_DUMPING	27/10/2023	23:58:34	13.0427/77.6019
WWM_KA53B3475_DUMPING	11/01/2023	15:19:30	13.0428/77.6015
WWM_KA53B3475_DUMPING	27/01/2023	11:33:45	13.0427/77.6014
WWM_KA53B3475_DUMPING	20/06/2023	10:54:07	13.0424/77.6013
WWM_KA53B3475_DUMPING	20/06/2023	10:54:07	13.0424/77.6013
WWM_KA53B3475_DUMPING	18/11/2023	14:51:52	13.0425/77.6015
WWM_KA53B3476_DUMPING	26/01/2023	23:58:53	13.0431/77.6017
WWM_KA53B3476_DUMPING	26/04/2023	23:58:49	13.0430/77.6017
WWM_KA53B3476_DUMPING	14/06/2023	09:27:50	13.0426/77.6015
WWM_KA53B3476_DUMPING	27/10/2023	23:58:52	13.0424/77.6016
WWM_KA53B3477_DUMPING	21/07/2023	10:49:18	13.0425/77.6015
WWM_KA53B3477_DUMPING	21/07/2023	10:49:18	13.0425/77.6015
WWM_KA53B3477_DUMPING	06/12/2023	09:29:21	13.0426/77.6016
WWM_KC2_KA53B3472_JETTING	26/01/2023	23:58:34	12.9563/77.6437
WWM_KC2_KA53B3472_JETTING	26/04/2023	23:58:38	12.9473/77.6232
WWM_KC2_KA53B3472_JETTING	27/07/2023	23:58:35	12.9476/77.6235
WWM_KC2_KA53B3472_JETTING	27/10/2023	13:32:42	12.9476/77.6230
WWM_VV1_KA04AA9029_DESILTING	26/04/2023	23:59:01	12.9367/77.5213
WWM_VV1_KA04AA9029_DESILTING	27/07/2023	23:58:44	12.8990/77.5116
WWM_VV1_KA04AA9029_DESILTING	27/10/2023	23:58:34	12.9367/77.5214
WWM_VV1_KA53B3459_DUMPING	26/01/2023	23:58:38	12.9367/77.5214
WWM_VV1_KA53B3459_DUMPING	26/04/2023	23:58:42	12.9365/77.5212
WWM_VV1_KA53B3459_DUMPING	27/07/2023	23:58:44	12.9365/77.5212
WWM_VV1_KA53B3459_DUMPING	27/10/2023	23:58:56	12.9069/77.5213
WWM_VV1_KA53B3460_JETTING	25/01/2023	11:20:37	13.0428/77.6026
WWM_VV1_KA53B3460_JETTING	25/01/2023	11:20:37	13.0428/77.6026
WWM_VV1_KA53B3460_JETTING	18/06/2023	18:31:44	13.0692/77.5940
WWM_VV1_KA53B3460_JETTING	18/06/2023	18:31:44	13.0692/77.5940
WWM_VV1_KA53B3461_DUMPTANKER	06/12/2023	16:40:47	12.9366/77.5212
