#,Vehicle Description,Device-ID,Date,Time,Odometer (Km),Lat/Lon,Address,Latest Batt %,Since Last Check-in,Since,Last,Check-in,Calculated Date
130,NE2_KA049930_TANKER,ne2_ka049930_tanker,17/02/2023,17:47:46,30579,13.0106/77.5674,Malleshwaram,,396d 17h 45m,396d,17h,45m,25/12/2022
131,SW5_KA04C5144_JETTING,sw5_ka04c5144_jetting,08/06/2023,12:14:44,41066,12.8953/77.5418,Vasantpura,,285d 23h 18m,285d,23h,18m,15/04/2023
132,SE6_KA04A9518_JETTING,se6_ka04a9518_jetting,12/06/2023,19:22:16,44969,12.9156/77.6014,BTM Layout 1st Stage,,281d 16h 10m,281d,16h,10m,19/04/2023
134,SE4_KA04A3282_JETTING,se4_ka04a3282_jetting,20/07/2023,19:41:41,23789,12.9827/77.6496,Thippasandra,,243d 15h 51m,243d,15h,51m,27/05/2023
133,NE1_KA04B7112_TANKER,ne1_ka04b7112_tanker,04/07/2023,15:17:53,90683,13.0111/77.5673,Malleshwaram,,224d 00h 33m,224d,00h,33m,15/06/2023
137,N12_KA04A6215_JETTING,n12_ka04a6215_jetting,19/08/2023,10:51:09,17588,13.0253/77.6075,SultÄnpÄlya,,214d 00h 41m,214d,00h,41m,25/06/2023
138,N21_KA04C2201_JETTING,n21_ka04c2201_jetting,16/10/2023,13:29:52,21697,13.1062/77.5658,AttÅ«r,,155d 22h 02m,155d,22h,02m,23/08/2023
139,SE4_KA04A7681_DESILTING,se4_ka04a7681_desilting,17/10/2023,08:47:12,11876,12.9826/77.6495,Thippasandra,,155d 02h 45m,155d,02h,45m,23/08/2023
140,SW2_KA04A3045_JETTING,sw2_ka04a3045_jetting,20/10/2023,18:10:21,19483,12.9428/77.5757,Venus Residency,,151d 17h 22m,151d,17h,22m,27/08/2023
148,SW2_KA04A9522_JETTING,sw2_ka04a9522_jetting,27/12/2023,09:13:56,740172,12.9587/77.5779,Hotel Sapphire,,151d 11h 45m,151d,11h,45m,27/08/2023
136,SE2_KA049409_JETTING,se2_ka049409_jetting,18/08/2023,14:52:33,12202,12.9868/77.6478,Baiyyappanahalli,,150d 01h 41m,150d,01h,41m,28/08/2023
141,SW5_KA05B6541_JETTING,sw5_ka05b6541_jetting,05/11/2023,05:28:43,180278,12.9092/77.5624,Bendre,,131d 00h 30m,131d,00h,30m,16/09/2023
142,SW3_KA04A9513_JETTING,sw3_ka04a9513_jetting,15/11/2023,09:20:11,31529,12.9429/77.5762,Venus Residency,,126d 02h 12m,126d,02h,12m,21/09/2023
143,WWM_KA53B3475_DUMPING,wwm_ka53b3475_dumping,18/11/2023,14:51:52,12519,13.0425/77.6015,VishvanÄt NÄgenhalli,,122d 20h 40m,122d,20h,40m,25/09/2023
144,WWM_KA53B3477_DUMPING,wwm_ka53b3477_dumping,06/12/2023,09:29:21,5806,13.0426/77.6016,VishvanÄt NÄgenhalli,,105d 02h 03m,105d,02h,03m,12/10/2023
