#,Vehicle Description,Device-ID,Date,Time,Odometer (Km),Lat/Lon,Address,Latest Batt %,Since Last Check-in,Since,Last,Check-in,Calculated Date
59,S12_KA04D4603_JETTING,s12_ka04d4603_jetting,01/01/2014,10:55:20,89403,12.9003/77.6226,Hongasandra,,0d 00h 00m,0d,00h,00m,26/01/2024
165,SE1_KA04AA9030_DESILTING,se1_ka04aa9030_desilting,24/01/2024,18:53:15,14675,12.9580/77.6124,Hotel Royal Heritage,,0d 00h 00m,0d,00h,00m,26/01/2024
167,SE1_KA04AB5793_JETTING,se1_ka04ab5793_jetting,24/01/2024,18:53:17,20931,12.9582/77.6124,Hotel Royal Heritage,,0d 00h 00m,0d,00h,00m,26/01/2024
174,SE1_KA04AB5794_JETTING,se1_ka04ab5794_jetting,24/01/2024,18:53:25,5738,12.9580/77.6123,Hotel Royal Heritage,,0d 00h 00m,0d,00h,00m,26/01/2024
172,SE1_KA04C5150_JETTING,se1_ka04c5150_jetting,24/01/2024,18:53:21,14832,12.9580/77.6122,Hotel Royal Heritage,,0d 00h 00m,0d,00h,00m,26/01/2024
28,SE2_KA04D6651_JETTING,se2_ka04d6651_jetting,01/01/2014,05:31:29,30487,,,,0d 00h 00m,0d,00h,00m,26/01/2024
30,SE2_KA05D8227_TANKER,se2_ka05d8227_tanker,01/01/2014,05:31:40,50156,,,,0d 00h 00m,0d,00h,00m,26/01/2024
88,SE5_KA05B8084_TANKER,se5_ka05b8084_tanker,01/01/2014,16:47:46,26464,12.9283/77.6240,Grand Mercure Bangalore,,0d 00h 00m,0d,00h,00m,26/01/2024
25,SE6_KA04D6654_JETTING,se6_ka04d6654_jetting,01/01/2014,05:31:07,24495,,,,0d 00h 00m,0d,00h,00m,26/01/2024
50,SW1_KA02AC5939_JETTING,sw1_ka02ac5939_jetting,01/01/2014,08:05:02,21485,12.9701/77.5834,Cubbonpet,,0d 00h 00m,0d,00h,00m,26/01/2024
36,SW1_KA04C5126_JETTING,sw1_ka04c5126_jetting,01/01/2014,05:33:19,13883,,,,0d 00h 00m,0d,00h,00m,26/01/2024
19,SW1_KA04D5123_TANKER,sw1_ka04d5123_tanker,01/01/2014,05:30:50,14994,,,,0d 00h 00m,0d,00h,00m,26/01/2024
63,SW2_KA04C5161_JETTING,sw2_ka04c5161_jetting,01/01/2014,12:38:39,18264,13.0236/77.5587,DevanpÄlya,,0d 00h 00m,0d,00h,00m,26/01/2024
12,SW2_KA04D4607_JETTING,sw2_ka04d4607_jetting,01/01/2014,05:30:31,17960,,,,0d 00h 00m,0d,00h,00m,26/01/2024
179,SW3_KA04C5147_JETTING,sw3_ka04c5147_jetting,24/01/2024,18:53:28,35021,12.9427/77.5762,Venus Residency,,0d 00h 00m,0d,00h,00m,26/01/2024
180,SW3_KA05A8077_TANKER,sw3_ka05a8077_tanker,24/01/2024,18:53:35,15199,12.9426/77.5762,Venus Residency,,0d 00h 00m,0d,00h,00m,26/01/2024
164,SW3_KA05AD2942_DESILTING,sw3_ka05ad2942_desilting,24/01/2024,18:53:11,29300,12.9430/77.5762,Venus Residency,,0d 00h 00m,0d,00h,00m,26/01/2024
69,SW5_KA03C5043_TANKER,sw5_ka03c5043_tanker,01/01/2014,14:15:50,43140,12.9000/77.5600,ISRO Layout,,0d 00h 00m,0d,00h,00m,26/01/2024
91,SW5_KA04D4270_JETTING,sw5_ka04d4270_jetting,01/01/2014,17:08:22,48381,12.9063/77.5610,Kumaraswamy Layout,,0d 00h 00m,0d,00h,00m,26/01/2024
51,SW6_KA04D5233_TANKER,sw6_ka04d5233_tanker,01/01/2014,08:51:06,85338,12.8747/77.5180,Poornapragana Layout,,0d 00h 00m,0d,00h,00m,26/01/2024
10,W21_KA04D4156_JETTING,w21_ka04d4156_jetting,01/01/2014,05:30:30,26751,,,,0d 00h 00m,0d,00h,00m,26/01/2024
109,W21_KA04D5156_JETTING,w21_ka04d5156_jetting,06/02/2020,00:22:32,1609344,12.9194/77.5222,Kenchenahalli,,0d 00h 00m,0d,00h,00m,26/01/2024
78,W21_KA04D5305_TANKER,w21_ka04d5305_tanker,01/01/2014,16:04:48,6489,13.0103/77.5673,Malleshwaram,,0d 00h 00m,0d,00h,00m,26/01/2024
17,W22_KA04C5134_JETTING,w22_ka04c5134_jetting,01/01/2014,05:30:48,17135,,,,0d 00h 00m,0d,00h,00m,26/01/2024
65,W22_KA04D4864_JETTING,w22_ka04d4864_jetting,01/01/2014,13:30:07,35696,,,,0d 00h 00m,0d,00h,00m,26/01/2024
182,WWM_KA53B3476_DUMPING,wwm_ka53b3476_dumping,26/01/2024,23:58:44,19039,13.0430/77.6017,VishvanÄt NÄgenhalli,,0d 00h 00m,0d,00h,00m,26/01/2024
160,WWM_VV1_KA04AA9029_DESILTING,wwm_vv1_ka04aa9029_desilting,24/01/2024,18:52:42,8977,12.9365/77.5214,Nayandanahalli,,0d 00h 00m,0d,00h,00m,26/01/2024
177,WWM_VV1_KA53B3459_DUMPING,wwm_vv1_ka53b3459_dumping,24/01/2024,18:53:27,11938,12.9366/77.5213,Nayandanahalli,,0d 00h 00m,0d,00h,00m,26/01/2024
112,WWM_VV2_KA41AB5933_RECYCLER,wwm_vv2_ka41ab5933_recycler,07/02/2020,11:20:02,1609344,12.9341/77.4916,Nagadevanahalli,,0d 00h 00m,0d,00h,00m,26/01/2024
23,WWMN_CV1_KA53B3463_DUMPTANKER,wwmn_cv1_ka53b3463_dumptanker,01/01/2014,05:31:00,15425,,,,0d 00h 00m,0d,00h,00m,26/01/2024
110,WWMN_CV1_KA53B3468_JETTING,wwmn_cv1_ka53b3468_jetting,06/02/2020,21:54:49,816669,,,,0d 00h 00m,0d,00h,00m,26/01/2024
32,WWW_V_VV1_KA53B3462_JETTING,www_v_vv1_ka53b3462_jetting,01/01/2014,05:31:50,12743,,,,0d 00h 00m,0d,00h,00m,26/01/2024
